STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
IL,17,21,13,0,7,43908,212000,17879,26037,0,0,16934,316857,0,87894,1494,6191,30510,7.0284035,39964,27909,399,403,17011,50862,0,55481,0,0,361,0,1417.727047,571344,,568,4707,16212,9588,27.5,525999,0,1125388,71906
IL,17,21,14,0,7,52450,212000,23944,48714,0,0,19406,304148,0,92666,5924,4986,19334,7.0284035,39657,34497,399,2452,17747,69498,0,45377,0,0,266,0,233.091354,571540,,10214,11764,11865,12026,27.5,367115,0,1125388,61045
IL,17,21,15,0,7,73226,212000,42732,42572,0,0,13103,286446,0,83894,10040,7056,20028,7.0284035,15797,53441,399,7492,16494,43139,0,33972,1,1,4426,1,76.25360384,571292,,25593,29891,9984,13979,27.5,237952,616,1125388,57349
IL,17,21,16,0,7,68705,212000,26731,51839,0,0,17829,301095,0,90753,7698,3557,17686,7.0284035,20210,25514,399,3093,16939,86261,0,40060,0,0,464,1,184.7681862,571488,,14496,5018,11590,12724,27.5,327089,0,1125388,57012
IL,17,21,17,0,7,94399,212000,18232,48769,0,0,12079,272048,0,91604,13263,7793,11435,7.0284035,9526,35044,399,8328,17172,52864,0,30838,2,0,595,1,68.63412584,571585,,34825,10079,12017,15677,27.5,135148,0,1125388,58038
IL,17,21,18,0,7,81160,212000,29492,39538,0,0,14099,281996,0,91800,9268,4717,18398,7.0284035,8474,40656,399,6173,16136,49493,0,36423,0,0,676,0,92.7001458,572238,,21295,19803,10206,12882,27.5,285256,0,1125388,55297
IL,17,21,19,0,4,99202,212000,22138,48507,0,0,13710,258530,0,91784,11998,4231,10911,15.6137875,3747,33304,399,10732,16234,46097,0,28741,0,0,457,0,53.24170704,571390,,38967,12839,10182,18387,27.5,90256,157,1125388,49073
IL,17,21,20,0,8,90565,212000,23712,42415,0,0,14154,275336,0,87471,12464,6301,15632,367.412212,5703,44014,399,9448,15382,41337,0,31846,0,0,907,0,60.45067739,571138,,37272,22331,12327,15972,27.5,161259,0,1125388,53407
IN,18,22,1,0,7,66039,61500,116739,44207,0,1,13474,263391,0,97488,1435,3677,13361,7.0284035,21079,28254,9375,649,18622,60548,0,36640,0,0,540,0,854.412943,554514,,1705,5955,11835,19194,25.1,473778,0,602347,53784
IN,18,22,2,0,4,75839,61500,22634,56329,0,0,12335,273968,0,91136,7135,3287,11150,15.6137875,4503,29923,9375,3888,15513,73943,0,31533,0,0,434,0,142.5722737,554321,,24742,11123,8074,16693,25.1,161951,0,602347,55377
IN,18,22,3,0,7,71626,61500,40836,59076,0,1,13316,282049,0,84194,4372,2669,12738,7.0284035,13387,22471,9375,1515,14406,85268,0,34458,0,0,361,0,365.9947195,554482,,12830,5396,10070,12606,25.1,313574,0,602347,56242
IN,18,22,4,0,3,66394,61500,30357,61311,0,0,14311,289381,0,89236,6710,3444,17345,2.023195,7745,23333,9375,3606,13685,81715,0,35821,0,0,641,0,153.7928453,554577,,30652,6204,12635,12627,25.1,248686,98,602347,59298
IN,18,22,5,0,4,73947,61500,11635,62725,0,0,13537,270180,0,98210,10609,4688,10120,15.6137875,5863,26675,9375,3962,15552,81530,0,32210,1,1,2531,0,139.888945,554240,,35200,6435,9528,14582,25.1,73946,0,602347,49932
IN,18,22,6,0,4,61798,61500,5576,33938,1,0,17238,300474,0,86731,4478,8331,27324,15.6137875,9515,33449,9375,2037,16247,53290,0,44668,1,0,845,0,271.9023073,553865,,11156,8871,11554,8551,25.1,354627,0,602347,64814
IN,18,22,7,0,4,68523,61500,10768,45573,0,0,15322,275124,0,86571,6873,5172,13014,15.6137875,11071,40090,9375,4752,14989,55297,0,33877,0,0,687,0,116.6877104,554500,,20317,19929,11699,12193,25.1,186709,0,602347,54593
IN,18,22,8,0,4,77206,61500,17098,47456,0,0,14428,271217,0,80346,6931,7430,11923,15.6137875,7380,36650,9375,5226,14659,51626,0,31375,2,0,581,0,106.0748182,554347,,19362,14561,9764,15390,25.1,222697,0,602347,55996
IN,18,22,9,0,4,70933,61500,9283,64093,0,0,17020,273762,0,96245,8580,6656,11562,15.6137875,3440,29473,9375,3733,14367,75349,0,31425,1,0,555,0,148.5443343,554516,,32169,8450,10981,16015,25.1,100143,0,602347,49892
IN,18,22,10,0,4,63640,61500,164796,43544,1,0,15251,289292,0,78865,2009,11011,21272,15.6137875,10280,37493,9375,196,14743,43075,0,29818,1,1,2257,0,2830.596939,554797,,0,11739,14574,17653,25.1,554797,288,602347,62113
MI,26,23,1,0,3,91777,106000,4898,40205,0,1,17627,258970,0,98852,6798,7120,10679,2.023195,9417,42647,705471,22765,21833,37655,0,27482,1,1,3481,1,25.52189765,586093,,7874,13694,8371,20835,33.7,0,124,973369,55200
MI,26,23,2,0,3,71559,106000,25084,57070,0,1,15659,279389,0,99777,7713,2729,9571,2.023195,12100,27038,705471,5469,17617,78371,0,33251,0,0,410,0,106.238252,581017,,11682,6692,7279,17297,33.7,202428,0,973369,57621
MI,26,23,3,0,3,62624,106000,42995,54884,0,0,13739,297820,0,88590,4073,3299,16300,2.023195,16497,24590,705471,1665,15139,75207,0,37093,0,0,423,0,348.8732733,580874,,7743,6152,8495,14849,33.7,402117,0,973369,68552
MI,26,23,4,0,3,73476,106000,6340,47453,0,0,15366,267165,0,103542,8235,3382,10153,2.023195,8465,37073,705471,8675,17357,60268,0,30754,0,0,340,0,66.96138329,603814,,24463,16334,7348,22318,33.7,20732,0,973369,55631
MI,26,23,5,0,3,75091,106000,48640,48794,0,1,11966,262224,0,103468,6728,4401,10092,2.023195,9292,28397,705471,5454,17395,60763,0,31422,1,1,2825,0,106.5238357,580988,,17493,6601,6963,25564,33.7,264700,97,973369,55276
MI,26,23,6,0,3,70744,106000,55329,51582,0,1,12838,291458,0,94501,7127,3226,12648,2.023195,16108,29446,705471,2907,17229,76047,0,33578,0,0,354,1,199.8531132,580973,,13645,8991,8269,18274,33.7,244827,0,973369,56686
MI,26,23,7,0,3,70555,106000,32443,53027,0,0,11515,280617,0,99398,6201,5996,12392,2.023195,9071,36796,705471,4137,17652,70328,0,34694,0,0,741,0,140.4411409,581027,,20648,13148,8114,18510,33.7,183368,601,973369,53242
MI,26,23,8,0,3,52360,106000,33396,40515,0,0,15103,307202,0,93281,4209,3840,16714,2.023195,20071,48497,705471,1941,19059,58094,0,42821,0,0,753,0,299.3673364,581072,,7721,25598,8017,16717,33.7,291041,0,973369,60577
MI,26,23,9,0,3,52877,106000,103036,47071,0,0,12926,288004,0,99299,2573,2826,13555,2.023195,16714,28790,705471,815,19933,73173,0,40647,0,0,283,0,712.7705521,580908,,2121,6031,7243,24456,33.7,446803,0,973369,56494
MI,26,23,10,0,3,70103,106000,11460,46665,0,1,16235,299272,0,88921,2701,6265,16073,2.023195,27971,25490,705471,1129,15017,78930,0,42003,2,0,1492,0,514.591674,580974,,3197,4208,7954,17800,33.7,463630,0,973369,63791
MI,26,23,11,0,3,71694,106000,23734,25715,0,0,14895,317353,0,77862,1818,3230,25150,2.023195,46229,25759,705471,380,17268,64587,0,56234,0,0,253,0,1528.773684,580934,,266,5261,7995,12518,33.7,540673,0,973369,69532
MI,26,23,12,0,3,73906,106000,21822,38730,0,0,13752,310557,0,83156,1280,6312,18607,2.023195,51176,25765,705471,149,15296,74871,0,45143,1,0,460,0,3899.241611,580987,,0,4157,8244,16166,33.7,580987,0,973369,67843
MI,26,23,13,0,3,49820,106000,63616,42012,0,0,11326,317717,0,82310,2247,4737,15801,2.023195,32449,40641,705471,455,16525,67882,0,44509,0,0,480,0,1276.663736,580882,,843,19379,13332,16551,33.7,542755,223,973369,64296
MI,26,23,14,0,3,66673,106000,401562,41108,1,1,6377,255943,0,99565,998,8018,14793,2.023195,22566,40771,705471,79,24704,44822,0,28875,0,0,481,0,7354.139241,580977,,0,8049,9896,36416,33.7,580977,0,973369,40990
MI,26,23,15,0,3,81509,106000,407138,34450,1,1,5251,221076,0,99773,1052,5892,10501,2.023195,22367,31176,705471,84,18416,34639,0,19738,0,0,477,0,6915.869048,580933,,0,6868,7391,45283,33.7,580933,0,973369,31397
MI,26,23,16,0,3,75122,106000,7684,49655,0,1,11656,285770,0,86780,2110,4161,14248,2.023195,35314,23910,705471,699,15293,71925,0,40922,0,0,370,1,831.0214592,580884,,3446,4456,14777,17622,33.7,465691,441,973369,61256
OH,39,24,1,0,4,76004,132900,171959,34755,1,0,13368,276732,0,75389,1757,8305,17749,15.6137875,13974,36250,16784,176,18267,43261,0,32697,0,0,353,0,3244.613636,571052,,87,9678,10882,16188,27.4,563909,249,1216668,60612
OH,39,24,2,0,4,65558,132900,12446,41108,1,0,16288,288646,0,87257,4320,5455,17629,15.6137875,10384,26166,16784,1947,14755,63961,0,40261,0,0,373,0,293.1581921,570779,,9353,5956,9491,11872,27.4,389769,0,1216668,66427
OH,39,24,3,0,4,71719,132900,101747,38447,0,0,11852,281876,0,81509,1936,17025,13851,15.6137875,11319,40191,16784,431,18344,57256,0,36045,1,0,5068,0,1324.62413,570913,,1757,4822,10912,15707,27.4,530832,413,1216668,58109
OH,39,24,4,0,4,75662,132900,25953,59827,0,0,13137,272753,0,97765,7040,3105,10563,15.6137875,6129,27061,16784,4531,16860,76228,0,32105,0,0,305,0,126.0024277,570917,,28788,7096,8679,17490,27.4,145406,0,1216668,52299
OH,39,24,5,0,3,73877,132900,12059,67381,0,1,14699,281396,0,100354,8167,2754,9463,2.023195,6197,28136,16784,5200,17665,87688,0,34855,0,0,406,0,109.7973077,570946,,33720,7717,9944,16374,27.4,31507,0,1216668,49877
OH,39,24,6,0,4,74996,132900,12014,45799,0,0,14549,244676,0,102136,6501,6064,9076,15.6137875,5027,37812,16784,6371,16467,45887,0,26535,0,0,135,0,89.59409826,570804,,16666,15281,10864,20154,27.4,56734,390,1216668,46377
OH,39,24,7,0,4,67545,132900,30558,49756,1,0,14336,274824,0,97257,6332,14043,12225,15.6137875,7166,40737,16784,3473,17548,62309,0,34979,1,1,4590,0,164.3936078,570939,,18346,9146,9054,15361,27.4,174030,0,1216668,54218
OH,39,24,8,0,4,65841,132900,15753,55350,0,0,14833,283594,0,95627,6342,4017,14223,15.6137875,6545,27562,16784,2728,15354,81304,0,36254,0,0,402,0,209.2510997,570837,,25351,8191,9808,13410,27.4,227974,0,1216668,58650
OH,39,24,9,0,3,71657,132900,69374,46098,1,1,12947,279761,0,82279,3103,3596,12853,2.023195,14470,31176,16784,1098,16729,52923,0,35473,0,0,574,1,519.9553734,570911,,7343,10851,12299,20470,27.4,455075,0,1216668,59234
OH,39,24,10,0,4,86785,132900,11948,39267,1,1,11927,283444,0,62608,1408,7129,20294,15.6137875,37279,30670,16784,155,20284,57785,0,37053,0,0,569,0,3680.83871,570530,,16,3257,12017,15060,27.4,568925,0,1216668,60490
OH,39,24,11,0,3,84939,132900,334296,37463,1,1,7691,258249,0,85089,1414,9482,14534,2.023195,23695,37956,16784,104,22338,42225,0,28710,1,0,504,0,5493.221154,571295,,0,6136,11113,26634,27.4,571295,574,1216668,42360
OH,39,24,12,0,4,53691,132900,132712,34825,1,0,13819,299109,0,90290,2962,9396,29274,15.6137875,14257,44867,16784,1022,18377,38622,0,37089,1,0,733,0,559.0420744,571341,,4322,17094,10643,14522,27.4,456915,0,1216668,64127
OH,39,24,13,0,3,61306,132900,25510,50198,0,1,16369,285963,0,94160,4349,4482,14088,2.023195,13911,26484,16784,1687,18114,75215,0,39210,0,0,471,0,338.3746295,570838,,6797,3888,10387,14480,27.4,322609,0,1216668,56531
OH,39,24,14,0,3,76363,132900,62249,40222,0,0,13199,281368,0,83191,2269,3575,12722,2.023195,16536,33254,16784,499,19004,60312,0,34362,0,0,517,0,1144.262525,570987,,597,10675,10347,16993,27.4,502909,0,1216668,62188
OH,39,24,15,0,4,56913,132900,27998,37509,1,0,14009,312928,0,72897,3392,5873,27656,15.6137875,20125,51497,16784,873,17007,37662,0,38070,1,0,865,0,653.768614,570740,,3566,28617,13078,12350,27.4,497704,0,1216668,69841
OH,39,24,16,0,4,78580,132900,27208,55173,0,0,12495,274286,0,89849,7667,2758,12013,15.6137875,8515,26029,16784,2134,16789,71544,0,32131,0,0,395,0,267.4343955,570705,,18240,6482,9013,15788,27.4,256393,0,1216668,56822
OH,39,24,17,0,4,90678,132900,55514,51625,0,0,11090,258333,0,88742,3233,3195,10811,15.6137875,12961,24170,16784,1345,14781,61366,0,30413,0,0,553,0,424.5078067,570963,,4881,6194,10074,19678,27.4,366045,0,1216668,57002
OH,39,24,18,0,4,86185,132900,13185,56716,0,0,12940,251720,0,97179,6415,4720,8832,15.6137875,4560,27489,16784,6071,16007,56347,0,27586,1,1,518,0,94.01811893,570784,,16324,6762,9226,20418,27.4,100725,0,1216668,50884
OH,39,24,19,0,3,87775,132900,9747,39756,0,1,14660,290637,0,76073,3469,3906,17668,2.023195,26623,25317,16784,1099,18500,69488,0,40093,0,0,397,1,519.4121929,570834,,2760,2911,9531,12727,27.4,437065,0,1216668,62218
WI,55,25,1,0,7,67878,54200,29379,54808,0,1,14649,279309,0,85461,6381,3414,11109,7.0284035,16208,29234,218612,2207,19353,79911,0,36634,0,0,741,0,246.2075215,543380,,11628,6467,9363,14704,24.5,316737,0,517844,56264
WI,55,25,2,0,7,61383,54200,11081,37299,0,0,14334,305316,0,76858,15221,5592,22619,7.0284035,15657,64945,218612,5348,19220,43735,0,37432,0,0,539,0,101.6501496,543702,,30717,40133,8830,9845,24.5,244335,200,517844,60067
WI,55,25,3,0,7,75845,54200,1560,47451,0,0,12412,276114,0,87674,24692,4350,10944,7.0284035,8202,37765,218612,10638,20632,51997,0,31244,0,0,575,0,51.08544839,543800,,53469,12783,9701,13249,24.5,137754,0,517844,57626
WI,55,25,4,0,7,72514,54200,4460,45734,1,1,12556,289999,0,68903,1471,5732,20673,7.0284035,23403,31315,218612,293,22316,69473,0,38681,0,0,581,0,1854.887372,543482,,103,3267,12945,12015,24.5,531089,414,517844,60140
WI,55,25,5,0,7,69302,54200,191387,37256,1,1,8048,262758,0,82894,1130,4853,19633,7.0284035,22769,33596,218612,100,22528,47490,0,31831,0,0,661,0,5436.07,543607,,0,6215,9358,19455,24.5,543607,0,517844,50899
WI,55,25,6,0,7,80356,54200,1810,59611,0,1,12425,273295,0,81779,14670,3924,10272,7.0284035,7992,28692,218612,6717,17437,82113,0,33268,1,1,495,1,80.91871371,543663,,30465,7331,9213,11841,24.5,136829,489,517844,51258
WI,55,25,7,0,9,82428,54200,763,50831,0,1,12704,264755,0,90334,18064,3906,13897,0.932429,7642,33019,218612,16723,20562,57908,0,30490,0,0,411,0,32.50427555,548408,36982438,33609,8551,10823,15339,24.5,101943,0,517844,52638
WI,55,25,8,0,7,76843,54200,1602,52465,0,1,15742,274228,0,88923,13170,4097,14612,7.0284035,7726,28532,218612,9844,19354,66923,0,33172,0,0,395,1,55.21393742,568489,,21945,5081,11317,13861,24.5,255361,0,517844,61540
WI,55,25,9,0,7,66524,54200,2345,52595,1,1,15639,291464,0,81555,7960,2743,16396,7.0284035,12128,24617,218612,2439,17821,87056,0,42177,0,0,389,0,222.8790488,543602,,14265,4053,8880,8528,24.5,207541,0,517844,57620
IA,19,31,1,0,7,66211,38700,14333,42892,0,0,12678,294488,0,86765,9036,8772,14771,7.0284035,13074,48022,2057,4480,17243,54447,0,35846,0,0,650,1,123.9350446,555229,,24451,22007,10050,13646,20.5,336459,199,301064,62432
IA,19,31,2,0,7,90890,38700,9507,45178,0,0,12509,271182,0,88048,25557,3390,11051,7.0284035,5063,31553,2057,12261,17442,52273,0,30470,0,0,329,0,45.30576625,556080,,67400,10721,8613,11884,20.5,169339,0,301064,55004
IA,19,31,3,0,7,91587,38700,5181,47876,0,0,12928,276177,0,87947,19159,5781,12687,7.0284035,9174,43236,2057,13833,18528,51530,0,30286,0,0,432,0,40.14306369,555299,,56111,18927,10492,11552,20.5,7093,253,301064,55323
IA,19,31,4,0,10,76121,38700,15039,38198,0,0,14395,296650,0,87925,11438,7410,33039,7.5561935,9359,38206,2057,7498,17053,34390,0,34018,0,0,721,0,74.05654841,555276,,29511,13743,14502,10457,20.5,346226,151,301064,64041
IA,19,31,5,0,10,101073,38700,3201,43154,0,0,12343,265386,0,89124,28594,4192,11490,7.5561935,6646,31278,2057,14801,17933,41837,0,28989,0,0,488,0,37.52834268,555457,,79098,9153,11229,8806,20.5,83277,0,301064,57441
KS,20,32,1,0,10,106592,30300,7794,45908,0,0,15479,301308,0,105812,30828,5884,12974,7.5561935,15948,46488,604,56244,26486,38059,0,28624,0,0,813,0,11.01221464,619371,,49309,14118,11427,9173,12,0,0,271228,63121
KS,20,32,2,0,10,88361,30300,38496,42111,0,0,15670,284824,0,100211,12135,13611,15991,7.5561935,12642,61332,604,13974,20705,36908,0,30340,3,2,20339,1,44.3241019,621485,,37645,27016,12618,14266,12,133812,746,271228,52532
KS,20,32,3,0,10,63892,30300,55341,36056,0,0,15812,332705,0,93258,3536,10062,28827,7.5561935,18047,46333,604,1550,18984,45699,0,41605,0,0,827,0,399.6419355,619445,,4405,17287,16300,14176,12,546234,0,271228,70530
KS,20,32,4,0,11,83759,30300,40328,42553,0,0,15013,311149,0,99323,7756,6856,15889,11.8136995,16208,36424,604,10052,19701,75956,0,34210,1,1,6475,0,61.61689216,619373,,17157,9867,11285,14152,12,338562,125,271228,57796
MN,27,33,1,0,7,77423,62300,1895,42750,0,0,13070,283134,0,87908,18390,3761,10945,7.0284035,9056,32147,298536,9424,18808,50639,0,34403,0,0,326,1,58.03363752,546939,,52588,9578,9354,11379,24.5,78352,0,476754,60175
MN,27,33,2,0,7,84989,62300,719,45721,0,0,14727,271628,0,93386,26363,3388,12103,7.0284035,5419,31328,298536,16121,21127,53930,0,32084,0,0,278,1,33.92308169,547370,,76349,6813,10055,10232,24.5,29012,0,476754,53768
MN,27,33,3,0,7,44153,62300,7209,29541,0,0,12634,321220,0,83502,2011,6865,30930,7.0284035,15267,31505,298536,594,16893,55581,0,49714,0,0,676,0,920.8350168,546976,,1073,7747,21831,10406,24.5,518545,0,476754,71410
MN,27,33,4,0,7,66214,62300,23185,33042,0,0,11496,299600,0,70675,1653,6386,22681,7.0284035,29163,42658,298536,210,18981,54560,0,40605,0,0,475,0,2603.866667,546812,,41,17291,14481,12424,24.5,545735,0,476754,58482
MN,27,33,5,0,7,74732,62300,52159,33417,1,0,9665,311125,0,57845,1545,5960,25560,7.0284035,29908,39053,298536,103,18633,46267,0,36817,0,0,289,0,5309.475728,546876,,0,14460,12507,15806,24.5,546876,513,476754,65286
MN,27,33,6,0,7,30489,62300,6374,41895,0,0,19138,315001,0,97021,2464,4918,24398,7.0284035,10496,31168,298536,1008,18125,70209,0,46461,0,0,372,0,542.7132937,547055,,2552,8125,14394,12074,24.5,439316,0,476754,68357
MN,27,33,7,0,9,85652,62300,1048,38145,0,1,13218,259126,0,99013,22615,6441,9942,0.932429,5638,41694,298536,26282,22580,33667,0,28104,0,0,601,0,20.81352256,560945,,56059,12673,9416,15496,24.5,110978,0,476754,56893
MN,27,33,8,0,9,86126,62300,2227,40038,0,1,16497,250502,0,99943,8908,5870,9638,0.932429,8246,41408,298536,25870,23394,35714,0,30259,0,0,622,0,21.12779281,558420,36982438,21284,12144,10026,19162,24.5,101818,288,476754,51078
MO,29,34,1,0,8,79371,68500,296988,35537,1,0,9075,274940,0,83481,1584,13106,16061,367.412212,11713,37049,65401,145,16417,43098,0,30858,1,0,891,0,3920.496552,568472,24592236,28,7526,14287,24411,26.6,563985,0,592896,48987
MO,29,34,2,0,8,58559,68500,20824,25870,0,0,14932,312487,0,73803,1803,7348,26603,367.412212,15932,25681,65401,537,13308,61222,0,50632,0,0,1094,0,1058.564246,568449,,885,5025,14393,9496,26.6,545612,0,592896,69438
MO,29,34,3,0,8,84081,68500,13173,41089,1,0,17225,292360,0,61646,2524,9218,20361,367.412212,13048,27674,65401,1260,13321,51179,0,36896,1,0,546,0,450.8769841,568105,24592236,1914,5135,13152,14129,26.6,452366,535,592896,64594
MO,29,34,4,0,10,82955,68500,18319,45409,1,0,18921,260703,0,91300,14473,9478,11888,7.5561935,6343,44313,65401,14101,13213,42182,0,27440,2,2,13100,0,40.37266861,569295,,43333,21622,10851,14571,26.6,34950,0,592896,50102
MO,29,34,5,0,10,77803,68500,134654,39376,1,0,13963,296982,0,76837,2012,15798,23295,7.5561935,13457,40451,65401,373,17356,40551,0,33443,2,0,599,0,1526.243968,569289,,221,7297,14521,18434,26.6,562584,288,592896,60206
MO,29,34,6,0,10,81634,68500,12138,45401,1,0,14908,283964,0,92450,13546,7286,17773,7.5561935,6482,32665,65401,13571,15366,45779,0,32516,0,0,775,0,41.9145973,568823,,38383,10013,21197,13534,26.6,271419,0,592896,58704
MO,29,34,7,0,11,88860,68500,4991,51304,0,0,14660,274984,0,87358,11990,4151,11856,11.8136995,5085,27398,65401,9291,13152,53661,0,26368,0,0,411,0,61.1362609,568017,,29752,10095,12180,13860,26.6,219765,0,592896,62532
MO,29,34,8,0,8,92032,68500,24940,54853,0,0,14382,244026,0,97118,13567,5426,8362,367.412212,3777,32783,65401,17470,13232,49903,0,22406,0,0,693,0,32.534917,568385,,30627,14125,11581,18166,26.6,0,126,592896,46882
MO,29,34,9,0,8,72556,68500,20823,47907,0,0,18286,282337,0,88683,12372,5916,13072,367.412212,7796,41870,65401,12147,14361,52076,0,31682,0,0,460,1,46.78011032,568238,,34954,21593,11483,14251,26.6,132069,210,592896,53226
NE,31,35,1,0,10,78562,24100,5656,41399,1,0,14325,274624,0,81392,19129,6455,15721,7.5561935,8804,46942,12883,13399,20277,41307,0,31546,0,0,731,1,39.27837898,534020,,49288,20210,11468,8472,16.3,203498,108,171507,56711
NE,31,35,2,0,10,53069,24100,50541,29577,0,0,13773,272303,0,80680,2639,9948,26681,7.5561935,13922,35264,12883,598,15755,28990,0,37128,1,1,11977,0,880.5568562,526573,,2208,9561,13521,10076,16.3,484400,226,171507,62864
NE,31,35,3,0,10,92517,24100,938,38333,0,0,12861,255212,0,92178,36566,5919,9820,7.5561935,5515,37727,12883,32789,22021,28404,0,27357,0,0,223,0,16.02735674,526272,,67748,9787,12581,7599,16.3,0,65,171507,54822
ND,38,36,1,0,9,92586,8100,3536,34755,0,0,15222,303641,0,117662,29655,13684,15625,0.932429,9459,55806,131279,68994,22779,18671,0,28707,3,2,9893,0,9.258776125,658842,,62012,19343,12174,15843,14.2,202485,119,63557,66327
SD,46,37,1,0,10,108026,19200,3190,43735,0,0,18931,335874,0,135423,39724,17649,19301,7.5561935,7887,62312,501882,75896,26100,34658,0,27602,1,1,6238,0,9.170496469,749733,,83369,18563,12283,15275,10.3,163965,506,78569,71910
VA,51,40,1,0,2,63600,74400,100312,33278,0,1,25677,277940,0,88488,6453,28372,14152,28.008056,14638,61762,161198,3298,21952,36499,0,38176,5,3,19086,0,170.7477259,563126,,5845,11438,8967,11278,10.9,295149,304,689418,55622
VA,51,40,2,0,2,40449,74400,93855,21876,1,1,19197,244505,0,79449,2364,25114,16553,28.008056,27548,51044,161198,283,19136,20294,0,36172,7,5,82240,0,1988.65371,562789,48735645,230,6794,10367,11961,10.9,559253,0,689418,56662
VA,51,40,3,0,2,66182,74400,361108,44178,0,0,17461,257484,0,95193,3572,20074,13485,28.008056,10679,58871,161198,1957,21986,39395,0,26538,2,1,13704,1,286.4793051,563608,48735645,2762,16811,11727,19166,10.9,498415,533,689418,47505
VA,51,40,4,0,2,65045,74400,181667,42198,1,0,23158,270943,0,91807,6184,24438,13283,28.008056,10207,61970,161198,5655,23040,48204,0,34630,4,2,12326,1,99.59434129,563206,,10198,14492,10515,12749,10.9,334404,0,689418,50969
VA,51,40,5,0,2,80354,74400,139457,72907,0,0,18764,283066,0,84347,9283,4673,10896,28.008056,6497,40710,161198,8826,17936,88525,0,29727,0,0,609,0,63.70643553,562273,,18492,18101,8929,11923,10.9,129000,0,689418,46479
VA,51,40,6,0,2,81970,74400,64546,51055,0,0,18726,284592,0,79002,7292,5558,15676,28.008056,7928,39374,161198,5196,18429,56791,0,32541,0,0,633,0,108.2421093,562426,,10633,15387,12214,10612,10.9,254170,461,689418,60411
VA,51,40,7,0,2,61840,74400,56186,30834,0,0,24216,314480,0,82613,4582,9789,32132,28.008056,17234,56306,161198,2543,21293,41163,0,45357,1,0,1143,0,221.2854896,562729,,5121,25224,10506,8130,10.9,398432,0,689418,62635
VA,51,40,8,0,2,52685,74400,75359,17198,0,0,19857,338394,1,61299,1681,69890,26385,28.008056,93695,91554,161198,162,17882,15829,0,58582,3,2,17969,0,3474.123457,562808,,39,3782,12185,9365,10.9,561262,0,689418,49232
VA,51,40,9,0,4,75643,74400,13717,58283,0,0,14699,250636,0,89627,6859,4679,7594,15.6137875,6767,42508,161198,7890,17030,57645,0,25166,0,0,484,0,71.29378961,562508,,17386,20799,7770,16285,10.9,25309,0,689418,43720
VA,51,40,10,0,2,41871,74400,32303,31956,0,0,32466,317049,1,87886,7837,28066,21672,28.008056,28540,56851,161198,3535,23650,34310,0,51076,1,0,5316,0,159.054314,562257,,9909,5135,12970,8988,10.9,237424,0,689418,57505
VA,51,40,11,0,2,33193,74400,46134,17742,0,0,22901,331321,1,84956,1885,54229,26341,28.008056,88076,81083,161198,248,21705,19328,0,59989,1,0,15069,0,2268.532258,562596,,6,5149,12802,8086,10.9,536797,0,689418,58474
AL,1,41,1,0,5,72534,46900,164556,43449,0,1,18756,257686,0,99469,5513,5938,11349,1.5217945,7280,33111,117606,6785,14990,46313,0,27360,0,0,1524,0,85.09579956,577630,37318160,5475,12183,10925,19799,18.2,301197,0,417107,52983
AL,1,41,2,0,5,75396,46900,139311,49886,0,0,16199,266730,0,97543,7931,14087,13075,1.5217945,7175,49579,117606,10131,16148,50645,0,29492,2,2,11250,1,56.97394137,577203,,12491,19344,11820,14127,18.2,202022,152,417107,52623
AL,1,41,3,0,5,74506,46900,150175,65849,0,0,16786,263608,0,99453,5438,12254,9113,1.5217945,5426,43073,117606,8719,15435,74787,0,26800,2,1,5804,0,66.19061819,577116,,8863,15384,7891,17303,18.2,157275,612,417107,45284
AL,1,41,4,0,5,84691,46900,38087,74068,0,0,19383,263925,0,99347,8547,6134,8326,1.5217945,2351,29922,117606,9139,14439,78671,0,25401,0,0,463,0,63.14235693,577058,,16664,9349,9711,16724,18.2,71451,0,417107,48266
AL,1,41,5,0,4,64755,46900,85607,48702,0,0,20679,286996,0,92437,4978,23405,10142,15.6137875,9468,51906,117606,4408,17411,72325,0,33189,1,0,3847,1,130.9516788,577235,,8058,11090,7276,15038,18.2,313113,0,417107,49742
AL,1,41,6,0,5,69964,46900,52555,30397,0,0,18817,293669,0,80539,2644,7032,24866,1.5217945,9284,40079,117606,2846,17091,35595,0,38768,0,0,850,0,202.8004216,577170,,2019,15956,10112,10792,18.2,426918,0,417107,60954
AL,1,41,7,0,5,80780,46900,389452,48164,0,0,12921,237767,0,112138,5200,7707,9949,1.5217945,2549,40034,117606,8719,17709,40116,0,20773,0,0,1242,0,66.22663149,577430,,5779,14618,8408,23792,18.2,367925,707,417107,44256
AR,5,42,1,0,8,89359,26000,105251,56158,0,0,13386,253428,0,110743,16152,6010,9708,367.412212,3150,33787,390163,16598,13323,56466,0,21889,1,1,3451,0,35.46138089,588588,,21025,14454,10753,19277,13.2,34549,0,254746,47647
